,Place_name,City,State,Walk Score,Transit Score,Bike Score,Population_2021,Population_2022_Census,City_Population_Stats_adjusted_land_area__acres_,City_Population_Stats_density__people_acre_,City_Population_Stats_density_classification,City_Population_Stats_2000_population,City_Population_Stats_population_growth,City_Population_Stats_population_growth_classification,Parkland_Stats_by_City_total_acres,Parkland_Stats_by_City__natural,Parkland_Stats_by_City__designed,Parkland_Stats_by_City_total_park_units,Parkland_Stats_by_City_parks_as__city_area,Walkable_Park_Access_all_residents,Walkable_Park_Access_black,Walkable_Park_Access_hispanic_latinx,Walkable_Park_Access_asian,Walkable_Park_Access_other_race,Walkable_Park_Access_multiple_races,Walkable_Park_Access_pacific_islander,Walkable_Park_Access_american_indian_alaska_native,Walkable_Park_Access_all_people_of_color,Walkable_Park_Access_white,Walkable_Park_Access_low__75_city_income_,Walkable_Park_Access_middle,Walkable_Park_Access_high__125_city_median_income_,Walkable_Park_Access_children__u19_,Walkable_Park_Access_adults__19_64_,Walkable_Park_Access_seniors__65_,Distribution_of_Park_Space_low_income,Distribution_of_Park_Space_high_income,Distribution_of_Park_Space_black,Distribution_of_Park_Space_hispanic_latnix,Distribution_of_Park_Space_asian,Distribution_of_Park_Space_other_race,Distribution_of_Park_Space_multiple_races,Distribution_of_Park_Space_pacific_islander,Distribution_of_Park_Space_american_indian_alaska_native,Distribution_of_Park_Space_white,Distribution_of_Park_Space_neighborhoods_of_color,Number_of_Fields_and_Diamonds,Number_of_Courts,Number_of_Tennis_courts,Number_of_Pickleball_courts,Number_of_Pickleball_courts_overlay_tennis,Number_of_Standalone_Pickleball,Number_of_Volleyball_nets,Number_of_basketball_hoops_at_park_sites,Number_of_basketball_hoops_at_community_schoolyards,Number_of_Beaches,Number_of_Community_Garden_Sites,Number_of_Community_Garden_Plots,Number_of_Cooling_Centers,Number_of_Dog_Parks,Number_of_Drinking_fountains,Number_of_Playgrounds,Number_of_Rec_Centers,Number_of_senior_centers,Number_of_Restrooms_Freestanding_permanent,Number_of_Restrooms_In_park_buildings,Number_of_Restrooms_Semi_permanent,Number_of_Skate_parks,Number_of_Splashpads,Number_of_Swimming_pools,Number_of_Disc_Golf_Courses,Trail_Miles_Improved_Trails,Trail_Miles_Nature_trails,Number_of_Tracks_At_Park_Sites,Number_of_Tracks_At_community_schoolyards,Number_of_Exercise_Zones,Miles_of_car_free_roadways_in_parks,Permanent_car_free_roadways
0,"Los Angeles, CA",Los Angeles,CA,68.6,52.9,58.7,3792621,3903648.0,296527.0,13.164561743112769,High,3694834.0,0.056515123548175644,Limited or Decline,39626.19,0.7010310605183087,0.29896893948169123,566,0.13363434021185255,0.6356915588574357,0.6834271897570173,0.6817260868213622,0.621063584501013,0.6242538138403715,0.591858285189578,0.6504405286343612,0.621063584501013,0.6668429050335324,0.5572805597374294,0.6948710952645691,0.6404465355138211,0.5780235044687734,0.6509817485233864,0.6383274756152664,0.5969536915594047,-0.34570394760810674,1.576975418333538,-0.3784902258379569,-0.09246439563467412,-0.2481957086840495,nan,0.24481927757417798,nan,nan,1.406854140099337,-0.12729557488564625,,,340.0,32.0,24.0,8.0,2.0,1120.0,0.0,16.0,20.0,2160.0,0.0,15.0,1260.0,440.0,0.0,159.0,559.0,0.0,156.0,31.0,17.0,64.0,4.0,33.0,33.0,1.0,0.0,133.0,0.0,0.0
1,"San Diego, CA",San Diego,CA,53.3,37.3,43.0,1307402,1394592.0,206371.0,6.757693668199504,Medium-Low,1223341.0,0.1399863161620513,Medium Slow,40121.78,0.805549504533448,0.19445049546655208,453,0.1944157851636131,0.8144253766632527,0.8150361257566882,0.8284252820948769,0.8222548087296323,0.8286680662467927,0.8081344061589457,0.7937719117343782,0.8222548087296323,0.823140969046422,0.8014415848113878,0.8417903193961394,0.824998410040067,0.8194991742834252,0.8123972429492854,0.8192546043917582,0.7963757437370176,-0.6252908316440486,1.649011649112698,-0.5637395290020906,-0.5977537441880694,-0.08416771959908953,nan,0.129456214472762,nan,nan,0.645024550317993,-0.39084824318503353,263,346,143.0,101.0,30.0,71.0,115.0,486.0,131.0,29.0,4.0,0.0,44.0,23.0,512.0,338.0,2.0,73.0,190.0,0.0,65.0,7.0,4.0,14.0,3.0,66.19999999999999,292.8,0.0,50.0,8.0,0.0,0.0
2,"San Jose, CA",San Jose,CA,50.5,40.1,61.5,945942,1018924.0,112666.0,9.043757655370742,Medium-High,893889.0,0.13987754631727206,Medium Slow,15220.800000000001,0.7931777567539157,0.20682224324608428,224,0.13509665737667087,0.8024739322612362,0.8091111937523243,0.8216934120131048,0.8035913233217815,0.8013809910641755,0.7934539428255766,0.7903130537507383,0.8035913233217815,0.810589098158923,0.7750740002877183,0.8014957111796048,0.8049635543214162,0.7939926146715344,0.8032228099401961,0.8057943615257048,0.7867756579744436,-0.13531163620793707,0.028070572622509893,-0.2528159367442834,-0.050744585548929355,0.16515595688886808,nan,-0.09258527630523761,nan,nan,-0.19808434956505083,0.07228567137389597,127,,85.0,35.0,0.0,35.0,19.0,157.0,0.0,0.0,22.0,1159.0,3.0,15.0,350.0,294.0,10.0,47.0,117.0,0.0,1.0,7.0,2.0,6.0,1.0,75.6,37.9,0.0,0.0,42.0,0.0,0.0
3,"San Francisco, CA",San Francisco,CA,88.7,77.1,72.3,805235,883822.0,29892.0,29.56717516392346,High,776733.0,0.1378710573646285,Medium Slow,6163.799999999999,0.4233589668710861,0.5766410331289141,27,0.2062023283821758,0.9972605536744312,0.9928436071786869,0.997199002144514,0.9969518236218808,0.9960214231063504,0.9977288309907439,0.9947884733292459,0.9969518236218808,0.9967094596586387,0.9981286894923258,0.996423950546291,0.9969655363385677,0.997909218138241,0.9967890738060782,0.9972837439006859,0.9975387426019551,-0.3804522794438625,0.37849431632058494,-0.32607467964297776,-0.3655252803223201,-0.014867294717054502,nan,0.36366000436327206,nan,nan,0.526541439642624,-0.3478790897691264,,,167.0,61.0,50.0,11.0,31.0,290.0,98.0,6.26,54.0,1318.0,0.0,42.0,174.0,272.0,0.0,39.0,280.0,6.0,10.0,7.0,11.0,12.0,2.0,51.35,34.0,3.0,0.0,5.0,7.0,4.0
4,"Fresno, CA",Fresno,CA,46.6,33.1,58.1,494665,547499.0,72537.0,7.547858334367288,Medium-High,427224.0,0.28152678688463195,Medium Fast,3429,0.17964421114027412,0.8203557888597258,26,0.04727242648579346,0.663106104745258,0.699167554800242,0.6584588900288578,0.6885457809694794,0.6233528550512445,0.6687898089171974,0.6878531073446328,0.6885457809694794,0.6677864740012756,0.6483734526570206,0.653653163627463,0.6396233120113717,0.6659051882742548,0.6676590021805268,0.6640279283517773,0.6477655353388451,-0.19007044073235013,0.46025134601637996,-0.2015369358187835,-0.042031467486827845,-0.0021830910842102202,nan,0.05039007410658902,nan,nan,0.551954192238157,-0.12695717175526078,90,,38.0,0.0,0.0,0.0,18.0,101.0,4.0,0.0,7.0,1.0,6.0,12.0,24.0,88.0,0.0,19.0,54.0,0.0,1.0,9.0,7.0,9.0,1.0,2.0,0.0,10.0,0.0,17.0,0.0,0.0
5,"Sacramento, CA",Sacramento,CA,49.0,33.9,66.9,466488,534959.0,62439.0,8.567706081135189,Medium-High,407075.0,0.3141534115335012,Medium Fast,6747,0.3853564547206166,0.6146435452793835,240,0.1080574640849469,0.8382530324847149,0.8522742661109522,0.8238697559566028,0.8499451837290186,0.8486066452304395,0.8462909805106511,0.8360500826836759,0.8499451837290186,0.8389114820326308,0.836752098955734,0.8232720115073057,0.834553368285686,0.8584440507824033,0.8402416882897319,0.8418309047812415,0.8199890713226302,-0.16559109557284923,0.2126322653961059,-0.06655197065274321,-0.30828116538521155,-0.18971278702149263,nan,0.10027705652833396,nan,nan,0.3061039308920701,-0.4543790648711854,246,,49.0,19.0,8.0,11.0,62.0,175.0,0.0,3.7,20.0,435.0,19.0,23.0,296.0,218.0,2.0,19.0,91.0,14.0,0.0,17.0,15.0,14.0,4.0,45.8,0.0,0.0,0.0,87.0,0.0,0.0
6,"Long Beach, CA",Long Beach,CA,73.3,48.9,70.1,462257,464125.0,31393.0,14.784346828910904,High,461381.0,0.005947362375130315,Limited or Decline,3034,0.2020435069215557,0.7979564930784443,166,0.09664574905233651,0.8285303215285658,0.8466639871382636,0.8378958135747235,0.8260582665214953,0.8450144508670521,0.8177122511408655,0.8046272493573264,0.8260582665214953,0.8358649201040506,0.8073268988669744,0.8787146130667773,0.8470863993544545,0.8161730735530739,0.8231435000865501,0.834481121702799,0.8109872973587603,-0.6236443041686486,2.573577859923166,-0.2593394680077501,-0.6503611532700939,-0.19173364791723502,nan,0.47935106375454306,nan,nan,4.479569071138333,-0.48122312241860077,76,170,49.0,18.0,18.0,0.0,67.0,82.0,0.0,6.0,10.0,574.0,13.0,11.0,195.0,70.0,5.0,30.0,165.0,0.0,3.0,10.0,1.0,3.0,1.0,90.4,20.4,0.0,0.0,15.0,0.35,0.35
7,"Oakland, CA",Oakland,CA,75.3,56.6,65.5,390724,446649.0,33381.0,13.38033611934933,High,399477.0,0.11808439534691609,Medium Slow,4927,0.5741830728638116,0.42581692713618835,165,0.14759893352505918,0.8860232050977775,0.8935113831520543,0.900886488848657,0.9115062032744714,0.881620931716656,0.8629914562956663,0.8706229266494655,0.9115062032744714,0.8977838733082096,0.8539530929639446,0.9243154894571193,0.8939304783698376,0.8442579348661269,0.8792408299734488,0.8920212958603455,0.8719055090655509,-0.24300263768161134,2.48410599169039,-0.06325853682865601,-0.3640939680270485,-0.14317960495395932,nan,0.2673835876437469,nan,nan,1.027643494886378,-0.30782413759175076,84,149,42.0,4.0,2.0,2.0,0.0,96.0,0.0,0.05,13.0,268.0,4.0,18.0,180.0,125.0,1.0,24.0,54.0,0.0,0.0,4.0,1.0,6.0,1.0,45.400000000000006,15.2,11.0,2.0,4.0,0.0,0.0
8,"Bakersfield, CA",Bakersfield,CA,37.3,24.6,43.7,347483,410726.0,95768.0,4.288760337482249,Medium-Low,247385.0,0.660270428684035,Very Fast,5364,0.7680835197613721,0.2319164802386279,78,0.05601035836605129,0.46180253502990626,0.4782757571145944,0.45705810166176103,0.4303038121653873,0.44532488114104596,0.4684259402569262,0.45759368836291914,0.4303038121653873,0.456735311434557,0.47469688523447845,0.4670591710981683,0.480727951469902,0.46604580253869354,0.453884785351031,0.4638065349193183,0.473030457716522,-0.10296816970291545,0.4836951936086711,-0.2486163324654358,-0.3578303093063002,0.02311269063768595,nan,0.13362275744429497,nan,nan,1.3593308511341942,-0.2467606865439882,,48,6.0,14.0,0.0,14.0,45.0,85.0,0.0,0.0,1.0,0.0,0.0,9.0,32.0,119.0,3.0,5.0,75.0,0.0,0.0,3.0,14.0,7.0,5.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0
9,"Anaheim, CA",Anaheim,CA,55.7,33.9,52.3,336265,346023.0,32176.0,10.754071357533565,High,327357.0,0.057020317268303415,Limited or Decline,4584,0.8586387434554974,0.14136125654450263,70,0.14246643460964695,0.672023978783535,0.6321852731591449,0.6768926434582394,0.6663943485991638,0.667989417989418,0.6669138679944909,0.6837060702875399,0.6663943485991638,0.6726178513208727,0.6698393891521853,0.6479730697607793,0.6632072833483517,0.6874972744319916,0.6738398678973664,0.6726066058545325,0.6653026668548045,-0.5391888385141238,2.619102943222799,-0.2569726876101215,-0.7143130380012608,-0.0533530211109835,nan,1.527681169165247,nan,nan,2.683564474427247,-0.6218170561669024,90,27,26.0,25.0,10.0,15.0,15.0,52.0,0.0,0.0,4.0,0.0,0.0,4.0,103.0,60.0,0.0,5.0,60.0,0.0,0.0,9.0,2.0,1.0,1.0,17.0,0.0,0.0,0.0,8.0,0.0,0.0
10,"Santa Ana, CA",Santa Ana,CA,67.1,43.3,62.2,324528,309050.0,17520.0,17.639840182648403,High,337512.0,-0.08432885349261655,Limited or Decline,599.7,0.019509754877438716,0.9804902451225612,49,0.034229452054794524,0.7393319673590409,0.7513812154696132,0.7516077102308832,0.6836434612882238,0.7593582887700535,0.7180049328583173,0.7367576243980738,0.6836434612882238,0.7419070883901142,0.7114521388835603,0.7632534809305543,0.7348048876625937,0.7148903424393998,0.74688913731677,0.7381186620251249,0.7216593453308772,-0.5718855348760026,0.48228741191242097,nan,-0.6555011533412443,0.25774977005937494,nan,nan,nan,nan,0.422429249772442,-0.48419223940475675,48,91,30.0,0.0,0.0,0.0,4.0,36.0,19.0,0.0,4.0,0.0,0.0,0.0,38.0,34.0,0.0,12.0,34.0,0.0,0.0,2.0,0.0,5.0,0.0,18.8,1.0,4.0,3.0,14.0,0.0,0.0
11,"Riverside, CA",Riverside,CA,42.7,29.9,48.9,303871,316692.0,51455.0,6.154737148965115,Medium-Low,255093.0,0.24147663793204832,Medium Fast,3975.75,0.8222876186882978,0.1777123813117022,77,0.07726654358177049,0.5104636162636295,0.5164975974372664,0.5234772694883854,0.4881382492491185,0.5293150684931507,0.4991337824831569,0.48427672955974843,0.4881382492491185,0.5181149715292959,0.4897994952327538,0.5521048757404746,0.5178314946673593,0.4823961288169531,0.5130493406769203,0.514520828329452,0.4840228282881414,-0.04174977759696907,-0.2123941944131833,0.4008235277806871,0.06528807073380105,0.8795500827673259,nan,1.429576976721858,nan,nan,1.2872523331848011,0.10307677114373104,115,125,27.0,23.0,12.0,11.0,20.0,138.0,0.0,0.0,3.0,229.0,8.0,2.0,0.0,42.0,0.0,22.0,70.0,0.0,0.0,2.0,5.0,7.0,1.0,23.0,24.0,6.0,0.0,6.0,0.0,0.0
